State,Value,CV (%)
KANSAS,146024000,16.9
KANSAS,12431000,23.9
KANSAS,36466000,16.5
KANSAS,3556000,30.5
KANSAS,52197000,18.2
KANSAS,1564000,26.1
KANSAS,81617,4.6
KANSAS,3305,8.5
KANSAS,15458,17.1
KANSAS,20566,7.4
KANSAS,19265,6.6
KANSAS,14358,9.6
KANSAS,8031,9.8
KANSAS,63481,5.8
KANSAS,11603,8.5
KANSAS,5914,10
KANSAS,13917,5.4
KANSAS,10974,13.9
KANSAS,24629,6.7
KANSAS,8181,17.1
KANSAS,14938,6.4
KANSAS,8360,20.4
KANSAS,66726,5.5
KANSAS,2201,10.1
KANSAS,12941,19.7
KANSAS,17140,8.6
KANSAS,15413,7.7
KANSAS,12582,10.8
KANSAS,6434,11.4
KANSAS,62757,5.9
KANSAS,3970,17.3
KANSAS,18011,9.3
KANSAS,46788,6.3
KANSAS,1247,24
KANSAS,51957,6.9
KANSAS,10139,9.3
KANSAS,4630,12.1
KANSAS,10934,6.2
KANSAS,9156,16.4
KANSAS,20774,7.5
KANSAS,6342,19
KANSAS,12226,7.3
KANSAS,7294,23.1
KANSAS,14891,5.8
KANSAS,1104,15.4
KANSAS,2517,28.6
KANSAS,3426,10
KANSAS,3852,11.6
KANSAS,1776,16.3
KANSAS,1597,17.3
KANSAS,11524,7.4
KANSAS,1463,17.9
KANSAS,1284,15.1
KANSAS,2982,10.9
KANSAS,1818,15.7
KANSAS,3855,13.7
KANSAS,1840,38.5
KANSAS,2711,12.1
KANSAS,1066,21.5
KENTUCKY,10147000,29.4
KENTUCKY,4545,19
KENTUCKY,485243000,6.9
KENTUCKY,52061000,18.6
KENTUCKY,153619000,16.7
KENTUCKY,123350000,28.3
KENTUCKY,70175000,17.1
KENTUCKY,404891000,9.8
KENTUCKY,37407000,26.3
KENTUCKY,117909000,25.5
KENTUCKY,59589000,21.5
KENTUCKY,100512000,17
KENTUCKY,42316000,36.2
KENTUCKY,136219000,27.8
KENTUCKY,28474000,27
KENTUCKY,370782000,8.3
KENTUCKY,35377000,24.1
KENTUCKY,100597000,18.6
KENTUCKY,103016000,31.8
KENTUCKY,45977000,21.7
KENTUCKY,293883000,11
